発時刻,着時刻,所要時間,路線名,行先,料金
5:19,5:23,4,ＪＲ京都線,西明石行,180
5:34,5:38,4,ＪＲ京都線,西明石行,180
5:45,5:49,4,ＪＲ京都線,西明石行,180
5:52,5:56,4,ＪＲ京都線,尼崎行,180
5:54,5:58,4,JR京都線快速,網干行,180
6:07,6:11,4,ＪＲ京都線,西明石行,180
6:12,6:16,4,ＪＲ京都線,尼崎行,180
6:16,6:20,4,JR京都線快速,姫路行,180
6:16,6:21,5,はるか1号,関西空港行,180
6:22,6:26,4,ＪＲ京都線,甲子園口行,180
6:27,6:31,5,ＪＲ京都線,新三田行,180
6:34,6:38,4,ＪＲ京都線,西明石行,180
6:39,6:43,4,ＪＲ京都線,尼崎行,180
6:41,6:45,4,JR京都線快速,網干行,180
6:47,6:51,4,ＪＲ京都線,西明石行,180
6:47,6:51,4,はるか3号,関西空港行,180
6:54,6:57,3,ＪＲ京都線,新三田行,180
6:58,7:02,4,ＪＲ京都線,西明石行,180
7:00,7:04,4,JR京都線快速,網干行,180
7:09,7:13,4,ＪＲ京都線,新三田行,180
7:13,7:17,4,ＪＲ京都線,西明石行,180
7:15,7:19,4,JR京都線快速,姫路行,180
7:15,7:19,4,はるか5号,関西空港行,180
7:23,7:27,4,ＪＲ京都線,新三田行,180
7:27,7:31,4,ＪＲ京都線,西明石行,180
7:30,7:33,3,JR京都線快速,網干行,180
7:30,7:34,4,エキスポライナー,桜島行 【始発】,180
7:31,7:35,4,スーパーはくと1号,倉吉行,180
7:34,7:39,5,くろしお1号,新宮行 【始発】,180
7:38,7:42,4,ＪＲ京都線新快速,姫路行,180
7:38,7:42,4,ＪＲ京都線,新三田行,180
7:44,7:48,4,ＪＲ京都線,西明石行,180
7:45,7:49,4,はるか7号,関西空港行,180
7:46,7:50,4,JR京都線快速,姫路行,180
7:53,7:57,4,ＪＲ京都線,新三田行,180
7:53,7:57,4,ＪＲ京都線新快速,播州赤穂行,180
7:58,8:02,4,ＪＲ京都線,西明石行,180
8:01,8:04,3,JR京都線快速,網干行,180
8:02,8:06,4,ＪＲ京都線,大阪行,180
8:02,8:06,4,エキスポライナー,桜島行 【始発】,180
8:06,8:10,4,こうのとり1号,城崎温泉行 【始発】,180
8:08,8:12,4,ＪＲ京都線新快速,姫路行,180
8:08,8:12,4,ＪＲ京都線,新三田行,180
8:14,8:18,4,ＪＲ京都線,西明石行,180
8:14,8:18,4,はるか9号,関西空港行,180
8:16,8:20,4,JR京都線快速,姫路行,180
8:20,8:24,4,エキスポライナー,桜島行 【始発】,180
8:23,8:27,4,ＪＲ京都線新快速,姫路行,180
8:23,8:27,4,ＪＲ京都線,新三田行,180
8:26,8:30,4,サンダーバード2号,大阪行,180
8:29,8:33,4,ＪＲ京都線,西明石行,180
8:31,8:35,4,JR京都線快速,姫路行,180
8:38,8:42,4,ＪＲ京都線新快速,姫路行,180
8:38,8:42,4,ＪＲ京都線,新三田行,180
8:44,8:48,4,ＪＲ京都線,西明石行,180
8:45,8:49,4,はるか11号,関西空港行,180
8:46,8:50,4,JR京都線快速,加古川行,180
8:53,8:57,4,ＪＲ京都線新快速,姫路行,180
8:53,8:57,4,ＪＲ京都線,新三田行,180
8:58,9:03,5,くろしお3号,白浜行 【始発】,180
8:59,9:03,4,ＪＲ京都線,西明石行,180
9:01,9:05,4,JR京都線快速,網干行,180
9:02,9:06,4,サンダーバード4号,大阪行,180
9:04,9:08,4,こうのとり3号,城崎温泉行 【始発】,180
9:08,9:12,4,ＪＲ京都線新快速,網干行,180
9:08,9:12,4,ＪＲ京都線,新三田行,180
9:13,9:18,5,はるか13号,関西空港行,180
9:14,9:18,4,ＪＲ京都線,西明石行,180
9:15,9:19,4,スーパーはくと3号,倉吉行,180
9:16,9:20,4,JR京都線快速,加古川行,180
9:23,9:27,4,ＪＲ京都線,新三田行,180
9:24,9:28,4,ＪＲ京都線新快速,姫路行,180
9:28,9:32,4,くろしお5号,新宮行 【始発】,180
9:29,9:33,4,サンダーバード6号,大阪行,180
9:29,9:33,4,ＪＲ京都線,須磨行,180
9:31,9:35,4,JR京都線快速,網干行,180
9:38,9:42,4,ＪＲ京都線,新三田行,180
9:39,9:43,4,ＪＲ京都線新快速,姫路行,180
9:41,9:45,4,エキスポライナー,桜島行 【始発】,180
9:44,9:48,4,ＪＲ京都線,須磨行,180
9:46,9:50,4,JR京都線快速,加古川行,180
9:52,9:56,4,ＪＲ京都線,新三田行,180
9:54,9:58,4,ＪＲ京都線新快速,姫路行,180
9:58,10:02,4,はるか15号,関西空港行,180
9:59,10:03,4,サンダーバード8号,大阪行,180
9:59,10:03,4,ＪＲ京都線,須磨行,180
10:01,10:05,4,JR京都線快速,網干行,180
10:05,10:10,5,こうのとり5号,城崎温泉行 【始発】,180
10:08,10:12,4,ＪＲ京都線,新三田行,180
10:09,10:13,4,ＪＲ京都線新快速,姫路行,180
10:13,10:17,4,くろしお7号,白浜行 【始発】,180
10:14,10:18,4,ＪＲ京都線,須磨行,180
10:16,10:20,4,JR京都線快速,加古川行,180
10:23,10:27,4,ＪＲ京都線,新三田行,180
10:24,10:28,4,ＪＲ京都線新快速,姫路行,180
10:28,10:32,4,はるか17号,関西空港行,180
10:29,10:33,4,サンダーバード10号,大阪行,180
10:29,10:33,4,ＪＲ京都線,須磨行,180
10:31,10:35,4,JR京都線快速,網干行,180
10:33,10:37,4,ＪＲ京都線,大阪行,180
10:38,10:42,4,ＪＲ京都線,新三田行,180
10:39,10:43,4,ＪＲ京都線新快速,姫路行,180
10:44,10:48,4,ＪＲ京都線,須磨行,180
10:45,10:49,4,エキスポライナー,桜島行 【始発】,180
10:46,10:50,4,JR京都線快速,加古川行,180
10:53,10:57,4,ＪＲ京都線,宝塚行,180
10:54,10:58,4,ＪＲ京都線新快速,姫路行,180
10:58,11:02,4,はるか19号,関西空港行,180
10:58,11:02,4,サンダーバード12号,大阪行,180
10:59,11:03,4,ＪＲ京都線,須磨行,180
11:01,11:05,4,JR京都線快速,網干行,180
11:05,11:09,4,こうのとり7号,福知山行 【始発】,180
11:08,11:12,4,ＪＲ京都線,宝塚行,180
11:09,11:13,4,ＪＲ京都線新快速,姫路行,180
11:13,11:17,4,くろしお9号,白浜行 【始発】,180
11:14,11:18,4,ＪＲ京都線,須磨行,180
11:16,11:20,4,JR京都線快速,加古川行,180
11:23,11:27,4,ＪＲ京都線,宝塚行,180
11:24,11:28,4,ＪＲ京都線新快速21号,姫路行,180
11:28,11:32,4,はるか21号,関西空港行,180
11:29,11:33,4,ＪＲ京都線,須磨行,180
11:31,11:35,4,JR京都線快速,網干行,180
11:31,11:35,4,ＪＲ京都線,大阪行,180
11:34,11:38,4,サンダーバード14号,大阪行,180
11:38,11:42,4,ＪＲ京都線,宝塚行,180
11:39,11:43,4,ＪＲ京都線新快速,姫路行,180
11:44,11:48,4,エキスポライナー,桜島行 【始発】,180
11:44,11:48,4,ＪＲ京都線,須磨行,180
11:46,11:50,4,JR京都線快速,加古川行,180
11:53,11:57,4,ＪＲ京都線,宝塚行,180
11:54,11:58,4,ＪＲ京都線新快速,姫路行,180
11:58,12:02,4,はるか23号,関西空港行,180
11:59,12:03,4,ＪＲ京都線,須磨行,180
12:01,12:05,4,JR京都線快速,網干行,180
12:02,12:06,4,サンダーバード16号,大阪行,180
12:05,12:09,4,こうのとり9号,城崎温泉行 【始発】,180
12:08,12:12,4,ＪＲ京都線,宝塚行,180
12:09,12:13,4,ＪＲ京都線新快速,姫路行,180
12:13,12:17,4,くろしお11号,新宮行 【始発】,180
12:14,12:18,4,ＪＲ京都線,須磨行,180
12:16,12:20,4,JR京都線快速,加古川行,180
12:23,12:27,4,ＪＲ京都線,宝塚行,180
12:24,12:28,4,ＪＲ京都線新快速,姫路行,180
12:28,12:32,4,はるか25号,関西空港行,180
12:29,12:33,4,ＪＲ京都線,須磨行,180
12:31,12:35,4,JR京都線快速,網干行,180
12:32,12:36,4,サンダーバード18号,大阪行,180
12:38,12:42,4,ＪＲ京都線,宝塚行,180
12:39,12:43,4,ＪＲ京都線新快速23号,姫路行,180
12:44,12:48,4,エキスポライナー,桜島行 【始発】,180
12:44,12:48,4,ＪＲ京都線,須磨行,180
12:46,12:50,4,JR京都線快速,加古川行,180
12:53,12:57,4,ＪＲ京都線,宝塚行,180
12:54,12:58,4,ＪＲ京都線新快速,姫路行,180
12:58,13:02,4,はるか27号,関西空港行,180
12:59,13:03,4,ＪＲ京都線,須磨行,180
13:01,13:05,4,JR京都線快速,網干行,180
13:05,13:09,4,こうのとり11号,福知山行 【始発】,180
13:08,13:12,4,ＪＲ京都線,宝塚行,180
13:09,13:13,4,ＪＲ京都線新快速,姫路行,180
13:13,13:17,4,くろしお13号,白浜行 【始発】,180
13:14,13:18,4,ＪＲ京都線,須磨行,180
13:16,13:20,4,JR京都線快速,加古川行,180
13:23,13:27,4,ＪＲ京都線,宝塚行,180
13:24,13:28,4,ＪＲ京都線新快速,姫路行,180
13:28,13:32,4,はるか29号,関西空港行,180
13:29,13:33,4,ＪＲ京都線,須磨行,180
13:31,13:35,4,JR京都線快速,網干行,180
13:32,13:36,4,サンダーバード20号,大阪行,180
13:38,13:42,4,ＪＲ京都線,宝塚行,180
13:39,13:43,4,ＪＲ京都線新快速25号,姫路行,180
13:44,13:48,4,エキスポライナー,桜島行 【始発】,180
13:44,13:48,4,ＪＲ京都線,須磨行,180
13:46,13:50,4,JR京都線快速,加古川行,180
13:53,13:57,4,ＪＲ京都線,宝塚行,180
13:54,13:58,4,ＪＲ京都線新快速,姫路行,180
13:58,14:02,4,はるか31号,関西空港行,180
13:59,14:03,4,ＪＲ京都線,須磨行,180
14:01,14:05,4,JR京都線快速,網干行,180
14:05,14:09,4,こうのとり13号,城崎温泉行 【始発】,180
14:08,14:12,4,ＪＲ京都線,宝塚行,180
14:09,14:13,4,ＪＲ京都線新快速,姫路行,180
14:13,14:17,4,くろしお15号,白浜行 【始発】,180
14:14,14:18,4,ＪＲ京都線,須磨行,180
14:16,14:20,4,JR京都線快速,加古川行,180
14:23,14:27,4,ＪＲ京都線,新三田行,180
14:24,14:28,4,ＪＲ京都線新快速,姫路行,180
14:28,14:32,4,はるか33号,関西空港行,180
14:29,14:33,4,ＪＲ京都線,須磨行,180
14:31,14:35,4,JR京都線快速,網干行,180
14:32,14:36,4,サンダーバード22号,大阪行,180
14:38,14:42,4,ＪＲ京都線,新三田行,180
14:39,14:43,4,ＪＲ京都線新快速,姫路行,180
14:44,14:48,4,エキスポライナー,桜島行 【始発】,180
14:44,14:48,4,ＪＲ京都線,須磨行,180
14:46,14:50,4,JR京都線快速,網干行,180
14:53,14:57,4,ＪＲ京都線,新三田行,180
14:54,14:58,4,ＪＲ京都線新快速,姫路行,180
14:58,15:02,4,はるか35号,関西空港行,180
14:59,15:03,4,ＪＲ京都線,西明石行,180
15:01,15:05,4,JR京都線快速,網干行,180
15:05,15:09,4,こうのとり15号,福知山行 【始発】,180
15:08,15:12,4,ＪＲ京都線,新三田行,180
15:09,15:13,4,ＪＲ京都線新快速,姫路行,180
15:13,15:17,4,くろしお17号,新宮行 【始発】,180
15:14,15:18,4,ＪＲ京都線,西明石行,180
15:16,15:20,4,JR京都線快速,網干行,180
15:23,15:27,4,ＪＲ京都線,新三田行,180
15:24,15:28,4,ＪＲ京都線新快速,姫路行,180
15:28,15:32,4,はるか37号,関西空港行,180
15:29,15:33,4,ＪＲ京都線,西明石行,180
15:31,15:35,4,JR京都線快速,網干行,180
15:32,15:36,4,サンダーバード24号,大阪行,180
15:38,15:42,4,ＪＲ京都線,新三田行,180
15:39,15:43,4,ＪＲ京都線新快速,姫路行,180
15:44,15:48,4,ＪＲ京都線,西明石行,180
15:44,15:48,4,エキスポライナー,桜島行 【始発】,180
15:46,15:50,4,JR京都線快速,姫路行,180
15:53,15:57,4,ＪＲ京都線,新三田行,180
15:54,15:58,4,ＪＲ京都線新快速,播州赤穂行,180
15:58,16:02,4,はるか39号,関西空港行,180
15:59,16:03,4,ＪＲ京都線,西明石行,180
16:01,16:05,4,JR京都線快速,姫路行,180
16:08,16:12,4,ＪＲ京都線,新三田行,180
16:09,16:13,4,ＪＲ京都線新快速,姫路行,180
16:13,16:17,4,くろしお19号,白浜行 【始発】,180
16:14,16:18,4,ＪＲ京都線,西明石行,180
16:16,16:20,4,JR京都線快速,網干行,180
16:23,16:27,4,ＪＲ京都線,新三田行,180
16:24,16:28,4,ＪＲ京都線新快速,網干行,180
16:28,16:32,4,はるか41号,関西空港行,180
16:29,16:33,4,ＪＲ京都線,西明石行,180
16:31,16:35,4,JR京都線快速,姫路行,180
16:32,16:36,4,サンダーバード26号,大阪行,180
16:38,16:42,4,ＪＲ京都線,新三田行,180
16:39,16:43,4,ＪＲ京都線新快速,播州赤穂行,180
16:44,16:48,4,ＪＲ京都線,西明石行,180
16:44,16:48,4,エキスポライナー,桜島行 【始発】,180
16:46,16:50,4,JR京都線快速,網干行,180
16:53,16:57,4,ＪＲ京都線新快速,網干行,180
16:53,16:57,4,ＪＲ京都線,新三田行,180
16:58,17:02,4,はるか43号,関西空港行,180
16:59,17:03,4,ＪＲ京都線,西明石行,180
17:01,17:05,4,JR京都線快速,姫路行,180
17:02,17:06,4,サンダーバード28号,大阪行,180
17:05,17:09,4,こうのとり17号,豊岡行 【始発】,180
17:08,17:12,4,ＪＲ京都線,新三田行,180
17:08,17:12,4,ＪＲ京都線新快速,播州赤穂行,180
17:13,17:17,4,くろしお21号,新宮行 【始発】,180
17:14,17:18,4,ＪＲ京都線,西明石行,180
17:16,17:20,4,JR京都線快速,姫路行,180
17:23,17:27,4,ＪＲ京都線新快速,姫路行,180
17:23,17:27,4,ＪＲ京都線,新三田行,180
17:28,17:32,4,はるか45号,関西空港行,180
17:29,17:33,4,ＪＲ京都線,西明石行,180
17:31,17:35,4,JR京都線快速,網干行,180
17:32,17:36,4,サンダーバード30号,大阪行,180
17:38,17:42,4,ＪＲ京都線,新三田行,180
17:38,17:42,4,ＪＲ京都線新快速,播州赤穂行,180
17:44,17:48,4,ＪＲ京都線,西明石行,180
17:44,17:48,4,エキスポライナー,桜島行 【始発】,180
17:46,17:50,4,JR京都線快速,姫路行,180
17:53,17:57,4,ＪＲ京都線新快速,姫路行,180
17:53,17:57,4,ＪＲ京都線,新三田行,180
17:58,18:02,4,はるか47号,関西空港行,180
17:59,18:03,4,ＪＲ京都線,西明石行,180
18:01,18:05,4,JR京都線快速,姫路行,180
18:01,18:07(6分),4,こうのとり19号,福知山行 【始発】,180
18:04,18:09,4,サンダーバード32号,大阪行,180
18:08,18:12,4,ＪＲ京都線,新三田行,180
18:08,18:12,4,ＪＲ京都線新快速,播州赤穂行,180
18:13,18:17,4,くろしお23号,白浜行,180
18:14,18:18,4,ＪＲ京都線,西明石行,180
18:16,18:20,4,JR京都線快速,網干行,180
18:23,18:27,4,ＪＲ京都線新快速,網干行,180
18:23,18:27,4,ＪＲ京都線,新三田行,180
18:28,18:32,4,はるか49号,関西空港行,180
18:29,18:33,4,ＪＲ京都線,西明石行,180
18:31,18:35,4,JR京都線快速,網干行,180
18:34,18:39,4,サンダーバード34号,大阪行,180
18:38,18:42,4,ＪＲ京都線,新三田行,180
18:38,18:42,4,ＪＲ京都線新快速,播州赤穂行,180
18:41,18:45,4,エキスポライナー,桜島行 【始発】,180
18:44,18:48,4,ＪＲ京都線,西明石行,180
18:44,18:48,4,くろしお25号,和歌山行 【始発】,180
18:46,18:50,4,JR京都線快速,姫路行,180
18:53,18:57,4,ＪＲ京都線新快速,姫路行,180
18:53,18:57,4,ＪＲ京都線,新三田行,180
18:58,19:02,4,はるか51号,関西空港行,180
18:59,19:03,4,ＪＲ京都線,西明石行,180
19:01,19:05,4,JR京都線快速,網干行,180
19:03,19:07,4,サンダーバード36号,大阪行,180
19:05,19:09,4,こうのとり21号,福知山行 【始発】,180
19:08,19:12,4,ＪＲ京都線,新三田行,180
19:08,19:13,4,ＪＲ京都線新快速,播州赤穂行,180
19:13,19:17,4,くろしお27号,新宮行 【始発】,180
19:14,19:18,4,ＪＲ京都線,西明石行,180
19:16,19:20,4,JR京都線快速,姫路行,180
19:23,19:27,4,ＪＲ京都線,新三田行,180
19:23,19:28,4,ＪＲ京都線新快速27号,網干行,180
19:28,19:32,4,はるか53号,関西空港行,180
19:29,19:33,4,ＪＲ京都線,西明石行,180
19:31,19:35,4,JR京都線快速,網干行,180
19:33,19:37,4,サンダーバード38号,大阪行,180
19:38,19:42,4,ＪＲ京都線,新三田行,180
19:38,19:43,4,ＪＲ京都線新快速,播州赤穂行,180
19:44,19:48,4,ＪＲ京都線,西明石行,180
19:44,19:48,4,エキスポライナー,桜島行 【始発】,180
19:46,19:50,4,JR京都線快速,網干行,180
19:53,19:57,4,ＪＲ京都線新快速29号,網干行,180
19:53,19:57,4,ＪＲ京都線,新三田行,180
19:58,20:02,4,はるか55号,関西空港行,180
19:59,20:03,4,ＪＲ京都線,西明石行,180
20:01,20:05,4,JR京都線快速,網干行,180
20:02,20:06,4,こうのとり23号,福知山行 【始発】,180
20:04,20:09,4,サンダーバード40号,大阪行,180
20:08,20:12,4,ＪＲ京都線,新三田行,180
20:09,20:13,4,ＪＲ京都線新快速,播州赤穂行,180
20:13,20:17,4,くろしお29号,白浜行 【始発】,180
20:14,20:18,4,ＪＲ京都線,西明石行,180
20:16,20:20,4,JR京都線快速,姫路行,180
20:23,20:27,4,ＪＲ京都線新快速,姫路行,180
20:23,20:27,4,ＪＲ京都線,新三田行,180
20:28,20:32,4,はるか57号,関西空港行,180
20:29,20:33,4,ＪＲ京都線,西明石行,180
20:31,20:35,4,JR京都線快速,姫路行,180
20:34,20:38,4,サンダーバード42号,大阪行,180
20:38,20:42,4,ＪＲ京都線新快速,姫路行,180
20:38,20:42,4,ＪＲ京都線,新三田行,180
20:44,20:48,4,ＪＲ京都線,西明石行,180
20:46,20:50,4,JR京都線快速,播州赤穂行,180
20:53,20:57,4,ＪＲ京都線,宝塚行,180
20:53,20:57,4,ＪＲ京都線新快速31号,上郡行,180
20:58,21:02,4,はるか59号,関西空港行,180
21:00,21:04,4,ＪＲ京都線,西明石行,180
21:01,21:05,4,こうのとり25号,福知山行 【始発】,180
21:02,21:06,4,JR京都線快速,加古川行,180
21:04,21:09,4,サンダーバード44号,大阪行,180
21:10,21:14,4,ＪＲ京都線,新三田行,180
21:13,21:17,4,ＪＲ京都線新快速,網干行,180
21:13,21:17,4,くろしお31号,紀伊田辺行 【始発】,180
21:20,21:24,4,ＪＲ京都線,神戸行,180
21:22,21:26,4,JR京都線快速,網干行,180
21:30,21:34,4,サンダーバード46号,大阪行,180
21:30,21:34,4,ＪＲ京都線,新三田行,180
21:34,21:38,4,ＪＲ京都線新快速,上郡行,180
21:40,21:44,4,ＪＲ京都線,西明石行,180
21:42,21:46,4,JR京都線快速,播州赤穂行,180
21:44,21:49,4,くろしお33号,和歌山行 【始発】,180
21:50,21:54,4,ＪＲ京都線,新三田行,180
21:54,21:58,4,ＪＲ京都線新快速,網干行,180
22:00,22:04,4,ＪＲ京都線,西明石行,180
22:02,22:06,4,JR京都線快速,網干行,180
22:04,22:08,4,こうのとり27号,福知山行 【始発】,180
22:10,22:14,4,ＪＲ京都線,新三田行,180
22:14,22:17,4,ＪＲ京都線新快速,姫路行,180
22:20,22:24,4,ＪＲ京都線,西明石行,180
22:22,22:26,4,JR京都線快速,上郡行,180
22:27,22:31,4,サンダーバード48号,大阪行,180
22:30,22:34,4,ＪＲ京都線,新三田行,180
22:34,22:37,4,ＪＲ京都線新快速,網干行,180
22:40,22:44,4,ＪＲ京都線,西明石行,180
22:42,22:46,4,JR京都線快速,姫路行,180
22:47,22:51,4,くろしお35号,和歌山行 【始発】,180
22:50,22:54,4,ＪＲ京都線,新三田行,180
22:54,22:57,4,ＪＲ京都線新快速,姫路行,180
23:00,23:04,4,ＪＲ京都線,西明石行,180
23:02,23:06,4,JR京都線快速,姫路行,180
23:10,23:14,4,ＪＲ京都線,新三田行,180
23:14,23:17,4,ＪＲ京都線新快速,姫路行,180
23:24,23:28,4,ＪＲ京都線,宝塚行,180
23:25,23:29,4,サンダーバード50号,大阪行,180
23:28,23:32,4,JR京都線快速,姫路行,180
23:34,23:37,4,ＪＲ京都線,大阪行,180
23:38,23:42,4,ＪＲ京都線,西明石行,180
23:52,23:56,4,ＪＲ京都線,西明石行,180
23:55,23:58,4,ＪＲ京都線新快速,西明石行,180
23:59,0:03,4,ＪＲ京都線,大阪行,180
0:16,0:20,4,ＪＲ京都線,大阪行,180
0:41,0:45,4,ＪＲ京都線,大阪行,180
